儀式|ceremony, rite, ritual, service
斬る|to kill (a human) using a blade (sword, machete, knife, etc.), to slice (off), to lop (off), to cut (off)
割りと|comparatively, relatively, fairly, rather, pretty, unexpectedly
正味|net (amount), clear, full (e.g. working hours)
専制|despotism, autocracy
夜行|walking around at night, night travel
速力|speed
激増|sharp increase, sudden rise
何々|what
習字|penmanship, calligraphy
耕地|arable land, plantation, farmland
針路|course, direction
養分|nutrient, nourishment
明明後日|"in three days' time, two days after tomorrow"
ブローチ|brooch
斯うして|thus, in this way
潜る|to dive (into or under water)
うんと|a great deal, very much, a lot
お気の毒に|"my sympathies, that's too bad, my condolences"
しゃぶる|to suck, to lick
はきはき|briskly, smartly, promptly, clearly, lucidly
こちらこそ|it is I who should say so
その為|hence, for that reason
形容動詞|adjectival noun (in Japanese), quasi-adjective, nominal adjective, na-, taru-, nari- or tari-adjective
伯父さん|uncle
釜|iron pot, kettle
寒帯|frigid zone
火口|(volcanic) crater, caldera
蒸す|to steam (food, towel, etc.)
述語|predicate
その頃|at that time, in those days, at that moment, then
どうぞ宜しく|pleased to meet you, how do you do
マラソン|marathon, long-distance race
レインコート|raincoat, mackintosh, macintosh, trench coat
ペンチ|"cutting pliers, lineman's pliers, combination pliers"
ローマ字|Latin alphabet, Roman alphabet
チップ|tip, gratuity
フリー|free (of restraint, controls, etc.)
モノレール|monorail
ダイアグラム|diagram
ウーマン|woman
お待ち遠様|"I'm sorry to have kept you waiting"
序|opportunity, occasion, chance
存ずる|to know, to be aware (of), to be acquainted (with)
先々月|month before last
酌む|to pour (sake), to serve, to drink (together)
碗|bowl (ceramic, porcelain)
無沙汰|not writing or contacting for a while, neglecting to write (call, visit, etc.), failing to write (call, visit, etc.), long silence
攻め手|offense, offence, method of attack
洋品店|shop that handles Western-style apparel and accessories
先先週|week before last
店屋|store, shop
斜|diagonal
行ってまいります|"good bye, I'm off, see you later"
逸れる|to turn away, to bear off, to veer away, to swerve from, to miss (e.g. a target)
バック|back, rear
退ける|to put something out of the way, to move (something, someone) aside
カーブ|curve, turn, bend
カラー|color, colour
千切る|to tear to pieces, to tear to shreds, to tear up
ご免ください|may I come in?
臍|navel, belly button
今晩は|good evening
仮名|kana, Japanese syllabary (i.e. hiragana, katakana)
和英|Japanese-English
まごまご|confused, flustered, at a loss
お邪魔します|"please excuse the intrusion, I'm coming in"
テニスコート|tennis court
ビルディング|multi-floor building, multi-storey building, tall building
ゼミ|seminar
言付ける|to have someone send (a message, parcel, etc.), to send (via someone else), to leave (a message) with someone
×|x (mark), cross
ローンチ|launch (of a product, service, etc.)
オーバコート|overcoat
一昨昨日|two days before yesterday, three days back (ago)
佚|being comfortable, relaxing
それなのに|and yet, despite this, but even so, but even then, however, nevertheless, for all that, notwithstanding that
タイア|tire, tyre
お掛け下さい|please sit down, please have a seat
締め切り|deadline, closing, cut-off
割引|discount, reduction, rebate
売れ行き|sales, demand
躓く|to trip (over), to stumble
嵌める|to fit (e.g. a pane into a frame), to insert (e.g. a cork), to fasten (a button)
呉れ呉れも|sincerely, earnestly, wholeheartedly
勿体ない|wasteful, a waste
吃逆|hiccup, hiccough
割り算|division
ぶら下げる|to hang, to suspend, to dangle, to swing, to carry
襤褸|rag, old cloth
宣伝|publicity, advertisement, advertising, propaganda
乾燥|dryness, aridity, drying (e.g. clothes), dehydration, desiccation
角度|angle
寺院|Buddhist temple
楽器|musical instrument
風船|balloon (toy or decoration)
漁師|fisherman
口紅|lipstick
水分|water, liquid, fluid, moisture, humidity, sap, juice
摩擦|friction, rubbing, chafing
文房具|stationery
電流|electric current
鉱物|mineral
代名詞|pronoun
吐き気|nausea, feeling like throwing up, feeling sick
官庁|government office, government agency, authorities
炭鉱|coal mine, (coal) pit, colliery
図鑑|pictorial book, picture book, illustrated reference book, identification manual, field guide
改札|examination of tickets
浴衣|yukata (light cotton kimono worn in the summer or used as a bathrobe)
保健|preservation of health, hygiene, sanitation
預かる|to look after, to take care of, to keep, to hold on to, to keep in custody
余る|to remain, to be left over, to be in excess, to be too many
仲良し|close friendship, close friend, good friend, bosom buddy, chum, pal
狙い|aim
見本|sample, specimen, pattern
挟む|"to hold between (e.g. one's fingers, chopsticks), to grip (from both sides)"
生存|existence, being, life, survival
応援|aid, assistance, help, support, reinforcement
修繕|repair, mending
可決|approval, adoption (of a motion, bill, etc.), passage
呼びかける|to call out to, to hail, to address
輸送|transport, transportation, transit, conveyance
干す|to air, to dry, to desiccate
膨らむ|to expand, to swell (out), to get big, to become inflated
月給|monthly salary
生る|to bear fruit
英文|English writing, English sentence, English text
裏口|backdoor, rear entrance, rear exit
消極的|negative, passive, half-hearted, unmotivated
真っ暗|pitch-dark, pitch-black, completely dark
功績|achievement, meritorious deed, distinguished service, contribution
講師|speaker, lecturer
書留|registered mail, registered post, registration (of mail)
出迎え|meeting, reception
心身|mind and body
手帳|notebook, memo pad, (pocket) diary
危うい|dangerous, in danger, facing imminent danger
重点|important point, emphasis, stress, importance, priority
基盤|base, basis, foundation, footing, infrastructure
敷地|site, plot, lot, grounds
四季|the four seasons
斜め|slanting, tilted, sloping, diagonal, oblique
冷凍|freezing, cold storage, refrigeration
月末|end of the month
警備|defense, defence, guard, policing, security
主役|leading part, leading actor, leading actress
出入り|going in and out, entering and exiting
活字|printing type, movable type
青少年|young people, youth, the younger generation
出勤|going to work, leaving for work, attendance (at work), being at work, presence (in the office), reporting for work
上級|upper level, upper grade, high rank, advanced level, senior level, upper class
当番|"being on duty, person on duty, one's turn"
原始|origin, beginning, genesis
重体|serious condition, critical condition
下旬|last third of a month, 21st to the last day of a month
断水|suspension of water supply, water outage
都心|city centre (esp. of Tokyo), heart of a city, downtown area
直通|direct line, direct communication, connecting directly, through service, nonstop service
国立|national, founded and run by the central government
坊さん|Buddhist priest, monk
要旨|(main) point, gist, key points, essentials, substance, summary, outline, abstract
並木|roadside trees, row of trees
拡充|expansion
却って|on the contrary, rather, instead, all the more
訳す|to translate, to interpret
鳴らす|to ring, to sound, to chime, to beat, to snort (nose), to snap (fingers), to crack (joints)
住まい|dwelling, house, residence, address
焦げる|to burn, to scorch, to char, to singe
静まる|to become quiet, to quiet down, to quieten down
元々|originally, from the start, from the beginning, from the outset, by nature
受け持つ|to take (be in) charge of
実る|to bear fruit, to ripen
惜しい|regrettable, disappointing, unfortunate
着せる|to put clothes on (someone), to dress, to clothe
釣り合う|to balance, to be in harmony, to be in equilibrium
剥く|to peel, to skin, to pare, to hull, to strip
彫る|to carve, to engrave, to sculpt, to chisel
好き嫌い|likes and dislikes, tastes, preferences, pickiness (esp. about food), choosiness, fussiness
炊く|to cook (grains, e.g. rice)
若々しい|youthful, young, young-looking
人通り|pedestrian traffic
砕く|to break (into pieces), to smash, to crush, to shatter, to grind (into powder), to pound
清書|fair copy, clean copy
お参り|visit (to a shrine, grave, etc.), worship
清い|clean, clear
突き当たり|end (of a street, hallway, etc.)
椀|bowl (wooden)
縞|stripe, bar, streak
曲線|curve
地下水|underground water
しつこい|insistent, obstinate, persistent, tenacious
仮名遣い|kana orthography, syllabary spelling
抽象|abstraction
三角|triangle, triangular shape
英和|English-Japanese
高層|high-rise (building), multistory, multistoried, tall
自習|self-study, teaching oneself
作製|manufacture, production
漢和|China and Japan
