程|extent, degree, measure
欠点|fault, defect, flaw, weak point, weakness, shortcoming, drawback
延期|postponement, deferment, adjournment
明かり|light, illumination, glow, gleam
食物|food, foodstuff
自身|"(one's) self, oneself"
有能|able, capable, competent, talented, efficient
有効|valid, effective
貴重|precious, valuable
構う|to mind, to care about, to be concerned about, to have a regard for
囲む|to surround, to encircle, to enclose, to fence, to wall in
友|friend, companion, comrade, pal
詳しい|detailed, full, minute
疑問|doubt, question, suspicion, dubiousness
見事|splendid, magnificent, excellent, fine, superb, beautiful, admirable
一家|"a family, a household, a home, one's family, whole family"
要素|component, factor, item (e.g. in list)
意思|intention, wish, purpose, mind (to do)
予測|prediction, estimation
普段|usual, normal, everyday, habitual, ordinary
連続|continuation, succession, series
物理|laws of nature, physical laws
指導|guidance, leadership, instruction, direction, coaching
限界|limit, bound
悲劇|tragedy, tragic drama, tragic play
担当|being in charge (of an area of responsibility), being responsible (for a work role, etc.)
清潔|clean, hygienic, sanitary
修正|amendment, correction, revision, modification, alteration, retouching, update, fix
土曜|Saturday
手間|time, labour, labor
必死|frantic, frenetic, desperate
迷惑|trouble, bother, annoyance, nuisance, inconvenience
大気|atmosphere, air
革|leather
来|next (year, spring, etc.), coming
哀れ|pity, sorrow, grief, misery, compassion, pathos
